# r_hat_15 [M/bp], smoothed estimates of crossing over per bp.  																							
																							
																							
Cytogenetic	cM	end	M/bp		Cytogenetic	cM	end	M/bp		Cytogenetic	cM	end	M/bp		Cytogenetic	cM	end	M/bp		Cytogenetic	cM	end	M/bp
1A	0	302615	-2.19E-009		21A	0	22221	8.37E-009		41A	55	469718	3.61E-010		61A	-1	114102	2.41E-009		82A	47.1	236357	1.41E-010
1B	0	554516	-1.29E-009		21B	0.5	324485	1.49E-008		41B	55	592171	-1.34E-011		61B	-1	298520	2.63E-009		82B	47.1	326924	4.46E-010
1C	0	725129	5.04E-010		21C	0.7	464653	1.88E-008		41C	55	890835	-1.91E-010		61C	-0.5	756302	2.53E-009		82C	47.1	482821	8.33E-010
1D	0	885080	2.03E-009		21D	1	518418	2.04E-008		41D	55	1034083	-3.34E-010		61D	-0.5	924623	3.90E-009		82D	47.1	689062	1.31E-009
1E	0.1	1148842	4.22E-009		21E	1.5	1086654	2.58E-008		41E	55	1293315	-4.65E-010		61E	-0.5	1082762	5.17E-009		82E	47.1	926850	1.68E-009
1F	0.1	1262585	6.27E-009		21F	2	1326937	3.21E-008		41F	55	1690404	-6.04E-010		61F	0	1393741	7.75E-009		82F	47.5	1189877	1.90E-009
2A	0.2	1369701	7.51E-009		22A	3	1698637	3.72E-008		42A	55	2384140	-1.52E-009		62A	0.5	1710810	1.25E-008		83A	47.5	1357324	2.08E-009
2B	0.2	1866139	1.11E-008		22B	3	2027808	4.27E-008		42B	55	2539470	-1.23E-009		62B	1	1979672	1.85E-008		83B	47.5	1514688	2.00E-009
2C	0.5	1977141	1.53E-008		22C	4	2132199	4.37E-008		42C	55	2664467	-5.72E-010		62C	1.5	2142693	2.56E-008		83C	47.5	1774692	1.83E-009
2D	0.6	2067135	1.65E-008		22D	5	2298835	4.41E-008		42D	55	2795827	1.97E-010		62D	2	2386781	3.29E-008		83D	47.5	2018005	2.21E-009
2E	0.8	2117474	1.70E-008		22E	6	2425049	4.40E-008		42E	55	2965596	1.50E-009		62E	3	2674592	4.46E-008		83E	47.5	2318878	2.57E-009
2F	0.9	2222390	1.75E-008		22F	6	2564558	4.33E-008		42F	55	3068178	2.89E-009		62F	4	2864582	5.33E-008		83F	47.5	2451280	2.78E-009
3A	1	2560267	2.07E-008		23A	7	2790737	4.02E-008		43A	55	3221235	4.61E-009		63A	5	3083893	5.67E-008		84A	48	2722699	3.09E-009
3B	1.5	2698188	2.48E-008		23B	7	2875792	3.58E-008		43B	56	3315613	6.64E-009		63B	6	3222966	5.91E-008		84B	48	2923198	3.19E-009
3C	2	3206298	3.09E-008		23C	8	3066730	3.25E-008		43C	56	3394630	7.91E-009		63C	7	3310019	5.97E-008		84C	48	3000444	2.96E-009
3D	3	3508245	4.08E-008		23D	8	3218266	2.99E-008		43D	56	3459027	9.03E-009		63D	8	3427672	5.95E-008		84D	48	3585820	2.11E-009
3E	4	3659110	4.51E-008		23E	9	3370087	2.82E-008		43E	57	3749018	1.20E-008		63E	8	3755734	5.78E-008		84E	48	3956043	-7.99E-010
3F	5	3849479	4.74E-008		23F	10	3526909	2.78E-008		43F	57	3860202	1.49E-008		63F	9	3935599	5.21E-008		84F	48	4208969	-1.80E-009
4A	6	4009701	4.95E-008		24A	10	3666352	2.78E-008		44A	58	3998995	1.62E-008		64A	10	4292399	4.50E-008		85A	48	4593066	-5.14E-011
4B	7	4227276	4.92E-008		24B	10	3698876	2.69E-008		44B	58	4073386	1.66E-008		64B	12	4811120	3.73E-008		85B	48	4805526	2.45E-009
4C	8	4643056	4.73E-008		24C	11	3912565	2.55E-008		44C	58	4323941	1.67E-008		64C	13	5381512	2.93E-008		85C	48	5028242	3.76E-009
4D	9	4858072	4.98E-008		24D	11	4225489	2.44E-008		44D	59	4547749	1.58E-008		64D	14	5624062	2.70E-008		85D	48	5426095	5.13E-009
4E	10	5001139	5.17E-008		24E	12	4397910	2.53E-008		44E	59	4670591	1.46E-008		64E	15	5810053	2.67E-008		85E	49	5733700	6.61E-009
4F	11	5369849	6.02E-008		24F	12	4537964	3.03E-008		44F	59	4872992	1.31E-008		64F	15	5919622	2.70E-008		85F	49	6027484	7.63E-009
5A	12	5591185	6.94E-008		25A	13	4842676	3.83E-008		45A	60	5040849	1.10E-008		65A	16	6344662	2.80E-008		86A	49	6160893	8.18E-009
5B	13	5660035	6.68E-008		25B	14	5006014	4.33E-008		45B	60	5137755	9.09E-009		65B	17	6601475	2.97E-008		86B	49	6299447	8.20E-009
5C	14	5849353	6.37E-008		25C	15	5213649	4.63E-008		45C	60	5232191	7.71E-009		65C	17	6791467	3.13E-008		86C	50	6838935	7.17E-009
5D	15	6092994	5.68E-008		25D	16	5372874	4.46E-008		45D	60	5352738	6.06E-009		65D	18	6999777	3.39E-008		86D	50	7110167	6.28E-009
5E	16	6209121	4.88E-008		25E	17	5572913	4.01E-008		45E	60	5422182	4.44E-009		65E	19	7287396	3.82E-008		86E	51	7611334	7.70E-009
5F	16	6294698	4.56E-008		25F	17	5831061	3.76E-008		45F	61	5525043	3.38E-009		65F	20	7424404	4.16E-008		86F	51	7697434	8.96E-009
6A	17	6410933	4.22E-008		26A	18	5980164	4.32E-008		46A	61	5599527	2.45E-009		66A	21	7978601	4.82E-008		87A	51	7972776	9.36E-009
6B	17	6479423	3.94E-008		26B	18	6233012	5.07E-008		46B	61	5757127	1.47E-009		66B	22	8203498	5.43E-008		87B	52	8360977	1.00E-008
6C	18	6673543	3.64E-008		26C	19	6384431	6.24E-008		46C	61	5876110	1.44E-009		66C	24	8448141	5.49E-008		87C	52	8599263	1.15E-008
6D	18	6757478	3.40E-008		26D	20	6514155	7.01E-008		46D	61	5948530	1.70E-009		66D	26	8805649	5.43E-008		87D	53	8990011	1.36E-008
6E	18	6927931	3.43E-008		26E	21	6583040	7.40E-008		46E	62	5998724	2.16E-009		66E	27	8974830	5.23E-008		87E	53	9310215	1.56E-008
6F	19	7044669	3.54E-008		26F	21	6687691	7.68E-008		46F	62	6181305	3.37E-009		66F	28	9118849	5.08E-008		87F	54	9669024	1.67E-008
7A	20	7180050	3.68E-008		27A	22	6746143	7.82E-008		47A	62	6499416	6.35E-009		67A	28	9326937	4.73E-008		88A	54	10052119	1.77E-008
7B	20	7695675	4.27E-008		27B	22	6839038	7.88E-008		47B	63	6686870	8.98E-009		67B	29	9540369	4.28E-008		88B	55	10240789	1.88E-008
7C	21	7841862	4.18E-008		27C	23	6969877	7.74E-008		47C	63	6864605	8.22E-009		67C	31	9858410	3.80E-008		88C	55	10501504	1.95E-008
7D	22	8140287	4.15E-008		27D	24	7069441	7.45E-008		47D	63	7108459	7.28E-009		67D	32	10309495	3.17E-008		88D	56	10880347	1.95E-008
7E	23	8359671	4.30E-008		27E	25	7277616	6.73E-008		47E	64	7174523	7.44E-009		67E	33	10763050	3.75E-008		88E	56	11142053	1.87E-008
7F	23	8543439	4.45E-008		27F	26	7445305	5.77E-008		47F	64	7415287	7.84E-009		67F	33	10942969	4.12E-008		88F	57	11448741	1.81E-008
8A	24	8662383	4.69E-008		28A	27	7548020	5.34E-008		48A	64	7519380	1.07E-008		68A	34	11167125	4.13E-008		89A	58	11853151	1.73E-008
8B	25	8827682	5.04E-008		28B	27	7644956	5.00E-008		48B	64	7564960	1.23E-008		68B	35	11248020	4.15E-008		89BC	59	12401970	1.71E-008
8C	26	9088688	5.37E-008		28C	28	7820556	4.80E-008		48C	65	7796537	1.46E-008		68C	36	11620870	4.08E-008		89D	59	12561877	1.77E-008
8D	27	9306416	5.39E-008		28D	29	8060238	5.73E-008		48D	65	7955746	1.73E-008		68D	36	11790422	3.51E-008		89E	59	12949344	1.88E-008
8E	28	9494493	5.31E-008		28E	30	8168304	6.44E-008		48E	66	8127649	1.89E-008		68E	37	11977477	3.09E-008		89F	60	13082065	2.19E-008
8F	29	9603589	5.04E-008		28F	30	8254275	6.55E-008		48F	66	8233108	1.87E-008		68F	38	12163517	2.60E-008		90A	60	13262646	2.46E-008
9A	30	9949643	4.48E-008		29A	31	8340270	6.59E-008		49A	67	8418392	1.79E-008		69A	38	12286842	2.22E-008		90B	61	13489120	2.77E-008
9B	31	10295374	3.16E-008		29B	31	8387293	6.56E-008		49B	67	8578477	1.51E-008		69B	38	12414335	1.94E-008		90C	61	13742595	2.97E-008
9C	31	10360241	2.56E-008		29C	32	8454356	6.50E-008		49C	67	8687922	1.29E-008		69C	38	12601029	1.60E-008		90D	61	13830720	3.05E-008
9D	32	10539391	2.44E-008		29D	33	8536704	6.40E-008		49D	67	8771391	1.09E-008		69D	38	12729969	1.47E-008		90E	62	13943989	3.09E-008
9E	32	10675823	2.37E-008		29E	33	8761614	6.13E-008		49E	67	8912331	8.41E-009		69E	39	12885835	1.41E-008		90F	62	14094332	3.12E-008
9F	33	10870668	2.67E-008		29F	34	9059863	3.69E-008		49F	68	9163391	6.67E-009		69F	39	13076187	1.45E-008		91A	63	14272516	3.25E-008
10A	33	11092836	3.21E-008		30A	35	9362423	1.46E-008		50A	68	9410971	6.88E-009		70A	40	13409314	1.61E-008		91B	64	14497995	3.45E-008
10B	34	11383206	3.89E-008		30B	35	9589828	4.32E-008		50B	68	9551428	1.31E-008		70B	40	13557903	1.65E-008		91C	64	14619697	3.46E-008
10C	35	11501228	4.47E-008		30C	36	9785847	6.79E-008		50C	68	9882236	2.26E-008		70C	41	14040781	1.66E-008		91D	65	14770980	3.20E-008
10D	35	11622906	4.79E-008		30D	36	9880189	7.84E-008		50D	68	10023306	3.29E-008		70D	42	14443641	1.28E-008		91E	65	14896054	2.92E-008
10E	36	11723971	5.13E-008		30E	37	9920729	8.33E-008		50E	69	10177396	4.00E-008		70E	42	14675784	9.99E-009		91F	66	15086741	2.72E-008
10F	37	11876082	5.46E-008		30F	38	10033194	8.69E-008		50F	70	10276996	4.40E-008		70F	42	14820814	8.84E-009		92A	66	15521004	2.34E-008
11A	38	12419949	6.07E-008		31A	39	10170693	8.96E-008		51A	71	10434871	4.57E-008		71A	42	14982204	7.80E-009		92B	67	15796954	2.17E-008
11B	39	12666108	6.52E-008		31B	40	10280567	8.98E-008		51B	72	10595363	4.68E-008		71B	42	15209320	6.60E-009		92C	67	15922589	2.17E-008
11C	40	12730499	6.77E-008		31C	40	10297297	8.80E-008		51C	72	10759657	4.37E-008		71C	43	15412238	7.61E-009		92D	68	16084899	2.26E-008
11D	41	13007682	7.00E-008		31D	41	10391524	8.57E-008		51D	73	10980958	3.87E-008		71D	43	15521203	8.48E-009		92E	68	16351122	2.75E-008
11E	42	13240292	7.20E-008		31E	42	10472969	7.98E-008		51E	74	11152747	3.53E-008		71E	43	15667413	8.22E-009		92F	69	16620292	3.42E-008
11F	43	13355078	7.18E-008		31F	43	10557961	7.34E-008		51F	74	11290104	3.37E-008		71F	43	15777032	7.57E-009		93A	69	16809695	3.67E-008
12A	44	13540570	6.87E-008		32A	43	10774975	5.97E-008		52A	74	11466490	3.75E-008		72A	43	15903055	5.48E-009		93B	70	16949954	3.80E-008
12B	45	13651698	6.48E-008		32B	43	10929250	4.14E-008		52B	75	11574958	4.16E-008		72B	43	15950987	4.11E-009		93C	71	17058537	3.84E-008
12C	46	13797471	6.02E-008		32C	44	11021965	3.06E-008		52C	75	11777758	4.70E-008		72C	43	16020877	3.72E-009		93D	71	17226531	3.85E-008
12D	47	13975020	5.36E-008		32D	44	11169360	2.18E-008		52D	76	11930272	5.26E-008		72D	44	16282674	3.07E-009		93E	72	17471701	3.88E-008
12E	48	14404783	3.90E-008		32E	44	11372970	1.97E-008		52E	77	12037600	5.32E-008		72E	44	16399388	7.60E-009		93F	73	17845017	3.72E-008
12F	49	14767234	2.05E-008		32F	44	11680785	2.26E-008		52F	78	12119039	5.32E-008		72F	44	16440035	9.23E-009		94A	74	18300406	3.52E-008
13A	49	15025154	1.88E-008		33A	45	11901327	2.89E-008		53A	79	12173088	5.25E-008		73A	44	16592433	1.06E-008		94B	75	18492576	4.15E-008
13B	50	15266347	2.17E-008		33B	45	12053550	3.48E-008		53B	79	12221404	5.14E-008		73B	44	16696594	1.23E-008		94C	76	18653017	4.48E-008
13C	50	15416867	2.48E-008		33C	46	12118065	3.61E-008		53C	80	12554725	4.64E-008		73C	44	16798246	1.29E-008		94D	77	18940434	4.77E-008
13D	50	15486131	2.68E-008		33D	46	12313074	3.60E-008		53D	80	12769926	3.70E-008		73D	45	16934357	1.31E-008		94E	78	19189660	5.13E-008
13E	51	15689039	2.98E-008		33E	46	12581605	3.57E-008		53E	81	12926667	3.13E-008		73E	45	17094913	1.27E-008		94F	79	19335511	5.32E-008
13F	52	15801641	3.35E-008		33F	47	12778076	3.52E-008		53F	81	13020374	3.07E-008		73F	45	17194950	9.93E-009		95A	80	19540672	5.49E-008
14A	52	16007549	3.73E-008		34A	47	13241340	3.36E-008		54A	82	13115252	3.02E-008		74A	45	17381457	6.30E-009		95B	80	19638523	5.58E-008
14B	53	16257629	4.35E-008		34B	48	13428842	3.02E-008		54B	82	13394844	2.79E-008		74B	45	17422372	2.88E-009		95C	81	19766528	5.62E-008
14C	53	16350382	4.70E-008		34C	48	13702162	2.78E-008		54C	83	13489244	2.57E-008		74C	45	17475759	1.76E-009		95D	82	19888822	5.65E-008
14D	54	16414562	4.87E-008		34D	49	13858651	2.68E-008		54D	83	13588995	2.39E-008		74D	45	17569427	3.87E-010		95E	83	20015324	5.57E-008
14E	54	16468736	4.97E-008		34E	50	14003468	2.62E-008		54E	84	13699413	2.20E-008		74E	45	17666179	-1.27E-009		95F	84	20206604	5.39E-008
14F	54	16561624	5.17E-008		34F	50	14129305	2.59E-008		54F	84	13778264	2.07E-008		74F	45	17735276	-1.93E-009		96A	85	20666240	4.82E-008
15A	55	16732978	5.55E-008		35A	50	14364252	2.57E-008		55A	84	13901407	1.95E-008		75A	45	17951342	-2.65E-009		96B	86	20927635	3.55E-008
15B	56	16794812	4.95E-008		35B	50	15063839	2.08E-008		55B	84	14104203	1.96E-008		75B	45	18148371	-1.87E-009		96C	87	21118073	2.92E-008
15C	56	16863056	4.67E-008		35C	51	15271253	1.65E-008		55C	85	14383006	2.13E-008		75C	45	18470335	-3.91E-012		96D	87	21265473	2.89E-008
15D	56	16960574	4.38E-008		35D	51	15968241	1.65E-008		55D	86	14469073	2.44E-008		75D	45	18754304	-1.47E-010		96E	88	21537738	2.94E-008
15E	57	17051157	3.87E-008		35E	51	16209133	1.76E-008		55E	86	14638450	2.74E-008		75E	45	18942159	4.46E-010		96F	89	21932613	2.87E-008
15F	57	17187722	3.60E-008		35F	52	16411601	1.72E-008		55F	86	14815220	3.01E-008		75F	45	19157930	2.31E-009		97A	90	22188526	2.88E-008
16A	57	17366120	4.28E-008		36A	52	16765029	1.43E-008		56A	87	14900411	3.13E-008		76A	45	19346806	7.97E-009		97B	91	22384029	2.88E-008
16B	57	17572243	5.24E-008		36B	53	17093815	1.06E-008		56B	88	15044165	3.21E-008		76B	45	19646753	1.55E-008		97C	91	22559526	2.88E-008
16C	58	17670554	6.20E-008		36C	53	17552485	1.06E-008		56C	88	15217049	3.21E-008		76C	46	19809081	2.15E-008		97D	92	22880713	2.88E-008
16D	58	17735820	6.50E-008		36D	53	17817472	1.09E-008		56D	89	15457963	3.17E-008		76D	46	19993685	2.46E-008		97E	92	23090548	2.68E-008
16E	59	17777294	6.41E-008		36E	53	18188234	1.14E-008		56E	90	15858558	2.90E-008		76E	46	20082884	2.36E-008		97F	93	23259969	2.60E-008
16F	59	18062412	5.93E-008		36F	53	18684441	1.26E-008		56F	90	16249262	2.69E-008		76F	46	20161162	2.26E-008		98A	94	23496676	2.72E-008
17A	60	18313796	4.73E-008		37A	54	18822138	1.24E-008		57A	91	16571354	3.45E-008		77A	47	20250293	2.09E-008		98B	94	23908248	3.09E-008
17B	60	18396747	3.95E-008		37B	54	19085148	1.19E-008		57B	92	16994835	4.36E-008		77B	47	20379479	1.81E-008		98C	95	24209524	3.41E-008
17C	60	18547495	3.47E-008		37C	54	19217604	9.78E-009		57C	93	17086804	4.82E-008		77C	47	20527903	1.32E-008		98D	96	24469810	3.56E-008
17D	60	18697740	2.94E-008		37D	54	19427708	7.52E-009		57D	94	17266246	5.00E-008		77D	47	20604281	9.21E-009		98E	97	24681620	3.60E-008
17E	61	18752073	3.15E-008		37E	54	19531130	3.97E-009		57E	95	17436522	5.06E-008		77E	47	20814201	4.72E-009		99A	98	25294662	3.04E-008
17F	61	18830107	3.32E-008		37F	54	19673576	1.14E-009		57F	96	17646020	5.03E-008		77F	47	20913617	2.27E-010		99B	99	25601444	2.70E-008
18A	62	19094065	3.87E-008		38A	54	20000958	-5.47E-010		58A	97	17865563	4.79E-008		78A	47	21058547	-9.38E-010		99C	99	25783386	2.37E-008
18B	62	19189097	4.62E-008		38B	54	20098210	-5.03E-010		58B	98	18015923	4.44E-008		78B	47	21143015	-8.96E-010		99D	100	25978664	2.06E-008
18C	62	19449569	4.86E-008		38C	54	20576388	0		58C	98	18080991	4.29E-008		78C	47	21380643	-5.68E-010		99E	100	26149307	1.83E-008
18D	63	19570159	4.05E-008		38D	54	20687000	0		58D	99	18305025	4.08E-008		78D	47	21598635	-2.79E-010		99F	100	26423149	1.70E-008
18E	64	19641702	3.64E-008		38E	54	20812419	0		58E	100	18472156	3.83E-008		78E	47	21741836	0		100A	101	26753950	1.59E-008
18F	64	19781114	3.24E-008		38F	54	20966124	0		58F	100	18563151	3.77E-008		78F	47	21840672	0		100B	102	27100773	1.53E-008
19A	64	19962790	2.60E-008		39A	54	21175048	0		59A	101	18654199	3.74E-008		79A	47	22000789	0		100C	102	27439501	1.52E-008
19B	64	20054556	2.13E-008		39B	54	21254364	0		59B	101	18865531	3.80E-008		79B	47	22092923	0		100D	102	27743162	1.52E-008
19C	64	20284517	1.65E-008		39C	54	21328898	0		59C	102	19026587	3.92E-008		79C	47	22174843	0		100E	103	27922768	1.54E-008
19D	64	20476012	1.10E-008		39D	54	21512721	0		59D	102	19322124	4.14E-008		79D	47	22289106	0		100F	103	28686604	1.65E-008
19E	65	20957656	3.21E-009		39E	54	21684084	0		59E	103	19450008	4.26E-008		79E	47	22553485	0					
19F	65	21248482	3.35E-009		39F	54	21731512	0		59F	104	19674681	4.19E-008		79F	47	22712005	0					
20A	66	21546707	3.99E-009		40A	54	21858141	0		60A	105	19877406	4.00E-008		80A	47	22836588	0					
20B	66	21773179	3.37E-009		40B	54	21929711	0		60B	106	20044134	3.67E-008		80B	47	22923615	0					
20C	66	21999650	2.95E-009		40C	54	21973916	0		60C	106	20337221	3.13E-008		80C	47	23070220	0					
20D	66	22118492	2.21E-009		40D	54	22061076	0		60D	107	20635011	2.20E-008		80D	47	23211187	0					
20E	66	22237333	1.63E-009		40E	54	22148236	0		60E	107	20905163	1.07E-008		80E	47	23295767	0					
20F	66	22775017	-7.16E-011		40F	54	22570260	0		60F	107	21321410	-6.19E-009		80F	47	23849507	0					
