Culex pipiens
Aedes aegypti
Anopheles gambiae
Apis mellifera scutellata
Arabidopsis thaliana
Brachypodium distachyon
Bombyx mandarina
Bos taurus
Caenorhabditis briggsae
Citrus reticulata
Caenorhabditis elegans
Citrullus lanatus lanatus
Canis lupus
Capsella rubella
Cucumis sativus var. hardwickii
Cynoglossus semilaevis
Drosophila melanogaster
Drosophila pseudoobscura
Danio rerio
Equus ferus przewalskii
Ficedula albicollis
Gasterosteus aculeatus
Gallus gallus
Glycine soja
Gossypium raimondii
Heliconius melpomene melpomene
Homo sapiens
Lepisosteus oculatus
Meleagris gallopavo
Macaca mulatta
Mus musculus castaneus
Medicago truncatula
Ovis canadensis
Oryzias latipes
Oryza rufipogon
Papio anubis
Prunus davidiana
Populus trichocarpa
Sorghum bicolor subsp. verticilliflorum
Setaria italica
Sus scrofa
Zea mays ssp parviglumis
