"chr"	"marker"	"cm"	"mb"	"sp"
1	"UGSF400"	0	0.35229	"sita"
1	"UGSF401"	3.974	1.010515	"sita"
1	"UGSF402"	6.439	1.212924	"sita"
1	"UGSF403"	8.262	1.315067	"sita"
1	"UGSF404"	10.262	1.416657	"sita"
1	"UGSF405"	11.656	1.620064	"sita"
1	"UGSF406"	12.479	1.72117	"sita"
1	"UGSF407"	15.23	2.136596	"sita"
1	"UGSF408"	17.068	2.452789	"sita"
1	"UGSF409"	19.355	2.552976	"sita"
1	"UGSF410"	21.19	2.95848	"sita"
1	"UGSF411"	23.785	3.362669	"sita"
1	"UGSF412"	24.055	3.605512	"sita"
1	"UGSF413"	25.921	4.122792	"sita"
1	"UGSF414"	32.243	4.302181	"sita"
1	"UGSF415"	40.18	4.949954	"sita"
1	"UGSF416"	42.62	5.298668	"sita"
1	"UGSF417"	44.455	5.414349	"sita"
1	"UGSF418"	45.85	5.615336	"sita"
1	"UGSF419"	47.1	5.816044	"sita"
1	"UGSF420"	47.507	6.016245	"sita"
1	"UGSF421"	49.016	6.119302	"sita"
1	"UGSF422"	51.998	6.423041	"sita"
1	"UGSF423"	53.538	6.523081	"sita"
1	"UGSF424"	53.538	6.826362	"sita"
1	"UGSF425"	55.546	7.028203	"sita"
1	"UGSF426"	57.519	7.233151	"sita"
1	"UGSF427"	59.354	7.333296	"sita"
1	"UGSF428"	59.899	7.433404	"sita"
1	"UGSF429"	60.033	7.552456	"sita"
1	"UGSF430"	61.428	7.753849	"sita"
1	"UGSF431"	62.111	8.157922	"sita"
1	"UGSF432"	64.706	8.458854	"sita"
1	"UGSF433"	65.812	8.559566	"sita"
1	"UGSF434"	66.777	8.659883	"sita"
1	"UGSF435"	67.46	8.973549	"sita"
1	"UGSF436"	68.005	9.305867	"sita"
1	"UGSF437"	68.177	9.609335	"sita"
1	"UGSF438"	68.683	10.016017	"sita"
1	"UGSF439"	69.366	10.31837	"sita"
1	"UGSF440"	69.636	10.526292	"sita"
1	"UGSF441"	69.636	10.942161	"sita"
1	"UGSF442"	69.636	11.043024	"sita"
1	"UGSF443"	69.636	11.244492	"sita"
1	"UGSF444"	69.771	11.358708	"sita"
1	"UGSF445"	69.905	11.561896	"sita"
