"chr"	"marker"	"cm"	"mb"	"sp"
1	"scaffold6657_71709"	51.8	13.073759	"csem"
1	"scaffold235_10985"	61	16.802364	"csem"
1	"scaffold1624_57230"	72.5	26.199204	"csem"
1	"scaffold351_17593"	31.4	5.378978	"csem"
1	"Scaffold000176"	84.6	21.215471	"csem"
1	"scaffold3_539"	64.2	15.413508	"csem"
1	"scaffold8099_71896"	36.8	7.176741	"csem"
1	"scaffold32_739"	6.6	1.284644	"csem"
1	"scaffold1298_51111"	87.5	32.405838	"csem"
1	"hncse67"	20.1	3.741856	"csem"
1	"Scaffold000113"	46.6	11.079893	"csem"
1	"scaffold3676_70735"	38.2	8.110274	"csem"
1	"hncse47"	69.5	18.949349	"csem"
1	"scaffold2700_68530"	21.3	3.601913	"csem"
1	"scaffold404_19771"	29	7.327438	"csem"
1	"scaffold2998_69647"	81.7	14.892074	"csem"
1	"scaffold1021_42142"	16	3.408307	"csem"
1	"scaffold2020_62950"	31	4.865951	"csem"
1	"Scaffold077568"	88.5	34.233074	"csem"
1	"scaffold1719_58856"	85.1	8.789883	"csem"
1	"cyse112"	11.8	0.157603	"csem"
1	"scaffold1611_57307"	63.1	17.39135	"csem"
1	"Scaffold079345"	34.1	6.656915	"csem"
1	"scaffold2020_62952"	35	4.902715	"csem"
1	"hncse247"	54.4	13.719167	"csem"
1	"Scaffold000270"	36.7	8.54936	"csem"
1	"cyse149"	101	21.518386	"csem"
1	"scaffold888_37653"	32.8	5.205794	"csem"
1	"Scaffold076322"	39.8	8.910371	"csem"
1	"scaffold409_20762"	78.1	28.973791	"csem"
1	"scaffold2998_69647"	81.7	20.469618	"csem"
1	"Scaffold000113"	46.6	11.077413	"csem"
1	"scaffold402_20228"	82.5	24.887233	"csem"
1	"scaffold1719_58856"	85.1	21.215472	"csem"
1	"scaffold683_20653"	50.9	13.024254	"csem"
1	"hncse86"	94.5	31.998002	"csem"
1	"scaffold1298_51107"	89.6	32.424924	"csem"
1	"scaffold375_18574"	90.7	33.18397	"csem"
1	"scaffold1611_57313"	57.7	17.398296	"csem"
1	"Scaffold000102"	62.5	15.734355	"csem"
1	"Scaffold080444"	33.6	4.971123	"csem"
1	"hncyse28"	79.2	28.500409	"csem"
1	"scaffold560_163"	84.9	29.590407	"csem"
1	"scaffold2104_64144"	67	17.638578	"csem"
1	"Scaffold078923"	70.8	18.893662	"csem"
1	"scaffold3110_70220"	42	8.214608	"csem"
1	"Scaffold078819"	74.8	26.222376	"csem"
1	"Scaffold074485"	55.3	14.202644	"csem"
1	"scaffold360_12245"	14.9	4.127801	"csem"
1	"scaffold402_20228"	82.5	24.887559	"csem"
1	"Scaffold000176"	84.6	8.789883	"csem"
1	"scaffold3044_69798"	27.3	5.793121	"csem"
1	"scaffold1099_44501"	85.8	31.568811	"csem"
1	"ST43"	83.8	19.964076	"csem"
1	"Scaffold074542"	42.7	12.180507	"csem"
1	"scaffold578_27319"	10.2	0.277438	"csem"
1	"scaffold1326_50968"	86.9	23.258139	"csem"
1	"scaffold1021_42137"	8.4	3.380746	"csem"
1	"Scaffold000163"	92.3	22.619524	"csem"
1	"Scaffold076622"	48.3	30.669805	"csem"
1	"hncse47"	69.5	18.542376	"csem"
1	"scaffold651_30754"	29.7	7.199736	"csem"
1	"scaffold578_27322"	13.4	0.296884	"csem"
1	"Scaffold076622"	48.3	12.571593	"csem"
1	"hncyse136"	80.6	28.165392	"csem"
1	"scaffold578_27322"	13.4	0.317134	"csem"
1	"Scaffold078819"	74.8	31.448285	"csem"
1	"Scaffold078150"	44.3	11.417616	"csem"
1	"hncse201"	65.4	15.206125	"csem"
1	"scaffold351_17593"	31.4	12.869833	"csem"
1	"hncse135"	26.5	8.73605	"csem"
1	"Scaffold078819"	74.8	32.558275	"csem"
1	"scaffold455_21462"	43.5	9.92498	"csem"
1	"scaffold888_37657"	28.7	5.191156	"csem"
1	"scaffold499_23574"	93.4	12.77496	"csem"
1	"scaffold351_17591"	15.9	5.341773	"csem"
1	"hncse262"	68.1	18.457923	"csem"
1	"hncse189"	32.1	8.73605	"csem"
1	"scaffold152_7435"	25.6	4.66791	"csem"
1	"scaffold1405_52741"	40.7	7.117117	"csem"
2	"scaffold340_17563"	20	3.224328	"csem"
2	"csou05"	63.5	4.238417	"csem"
2	"scaffold2188_64837"	9.2	1.508972	"csem"
2	"scaffold1994_62843"	16.4	2.962585	"csem"
2	"scaffold490_218"	50.5	10.00007	"csem"
2	"Scaffold080390"	22.1	4.285112	"csem"
2	"scaffold447_21249"	44	7.842548	"csem"
