"chr"	"marker"	"cm"	"mb"	"sp"
"1"	"1"	32.398	13.508107	"hmel"
"10"	"2"	9.8065	3.509263	"hmel"
"19"	"3"	14.6395	2.104665	"hmel"
"2"	"4"	10.2795	3.295806	"hmel"
"7"	"5"	18.322	7.2905115	"hmel"
"1"	"7"	49.5885	15.411474	"hmel"
"8"	"8"	0	0.090943	"hmel"
"13"	"9"	32.9475	11.7185175	"hmel"
"16"	"10"	30.393	7.8520885	"hmel"
"19"	"12"	28.8265	11.3006305	"hmel"
"19"	"13"	25.277	8.4812315	"hmel"
"7"	"14"	14.679	5.7009095	"hmel"
"10"	"15"	27.1065	6.867622	"hmel"
"6"	"16"	31.6335	10.348027	"hmel"
"1"	"17"	31.166	13.0294415	"hmel"
"1"	"18"	45.9915	15.2443475	"hmel"
"15"	"20"	5.964	3.6530405	"hmel"
"14"	"22"	22.5995	3.551871	"hmel"
"19"	"26"	30.0375	12.239535	"hmel"
"7"	"27"	7.2405	1.9666005	"hmel"
"7"	"28"	7.2405	1.9352085	"hmel"
"10"	"30"	32.7735	12.149904	"hmel"
"5"	"31"	8.4935	3.4037125	"hmel"
"18"	"34"	46.398	14.146526	"hmel"
"11"	"35"	21.8035	9.382234	"hmel"
"4"	"36"	3.5625	2.3133195	"hmel"
"13"	"37"	2.397	0.674593	"hmel"
"17"	"38"	33.0425	12.828317	"hmel"
"4"	"40"	19.52	5.36849	"hmel"
"16"	"41"	7.2315	2.8941305	"hmel"
"20"	"43"	7.14	3.0562855	"hmel"
"18"	"44"	2.41	1.048882	"hmel"
"16"	"45"	31.582	8.3986375	"hmel"
"14"	"46"	19.425	2.9004145	"hmel"
"15"	"47"	0	0.186657	"hmel"
"7"	"48"	24.382	9.767203	"hmel"
"14"	"49"	35.994	6.258065	"hmel"
"1"	"50"	43.5695	14.920884	"hmel"
"7"	"51"	34.124	11.270646	"hmel"
"6"	"52"	18.1655	5.713662	"hmel"
"13"	"54"	17.021	5.047889	"hmel"
"3"	"55"	8.489	2.454404	"hmel"
"8"	"56"	20.552	5.5565695	"hmel"
"12"	"58"	33.6485	13.7536865	"hmel"
"13"	"59"	14.578	2.872562	"hmel"
"8"	"60"	2.4385	0.685024	"hmel"
"10"	"61"	1.3815	1.4767705	"hmel"
"3"	"62"	21.8215	6.7544935	"hmel"
"5"	"63"	13.3705	5.214603	"hmel"
"17"	"64"	30.583	10.280848	"hmel"
"18"	"65"	36.6605	11.22098	"hmel"
"16"	"66"	24.3465	6.2397555	"hmel"
"10"	"67"	41.2115	14.2433315	"hmel"
"19"	"68"	5.993	1.1726025	"hmel"
"17"	"69"	25.6595	9.4720735	"hmel"
"9"	"70"	10.8685	2.423751	"hmel"
"14"	"72"	0	0.054055	"hmel"
"17"	"73"	24.4355	9.3562965	"hmel"
"9"	"74"	4.7885	1.0757415	"hmel"
"3"	"75"	18.221	5.910555	"hmel"
"8"	"76"	9.67	2.0027	"hmel"
"1"	"77"	9.8795	1.586542	"hmel"
"7"	"79"	25.597	10.3489395	"hmel"
"12"	"80"	3.581	1.5380025	"hmel"
"18"	"81"	18.2595	6.008287	"hmel"
"10"	"82"	15.5455	4.4391875	"hmel"
"4"	"83"	4.7485	2.8559425	"hmel"
"14"	"84"	24.077	3.7531835	"hmel"
"13"	"86"	26.9	9.8299635	"hmel"
"6"	"87"	12.068	3.7963625	"hmel"
"7"	"88"	24.382	9.9276085	"hmel"
"3"	"91"	6.038	2.2476065	"hmel"
"7"	"93"	26.804	10.5791105	"hmel"
"11"	"96"	23.004	9.90029	"hmel"
"10"	"97"	45.4475	16.054604	"hmel"
"10"	"98"	14.1005	4.1425745	"hmel"
"1"	"100"	27.7315	10.5555785	"hmel"
"4"	"101"	0	0.488295	"hmel"
"10"	"102"	34.175	13.3897455	"hmel"
"16"	"103"	30.393	7.8373175	"hmel"
"10"	"104"	19.8865	5.5226245	"hmel"
"10"	"105"	2.763	2.5809395	"hmel"
"7"	"108"	35.3025	11.4607405	"hmel"
"19"	"109"	25.277	8.45512	"hmel"
"12"	"110"	15.7625	7.7477585	"hmel"
"5"	"111"	1.185	1.3996555	"hmel"
"9"	"112"	9.6455	2.3240715	"hmel"
"1"	"113"	8.621	1.052671	"hmel"
"4"	"114"	8.364	3.9733595	"hmel"
"12"	"117"	1.187	1.024009	"hmel"
"20"	"118"	4.7585	2.037385	"hmel"
"4"	"119"	25.5295	6.4696695	"hmel"
"8"	"120"	27.8585	6.9133155	"hmel"
"20"	"123"	5.946	2.8199145	"hmel"
"11"	"124"	19.394	8.804337	"hmel"
"16"	"125"	1.2	1.1742215	"hmel"
"7"	"126"	36.446	11.7676065	"hmel"
"10"	"127"	2.763	2.5733995	"hmel"
"4"	"128"	15.847	4.8252915	"hmel"
"2"	"129"	6.839	1.3970155	"hmel"
"12"	"130"	34.7885	14.3994085	"hmel"
"18"	"131"	45.1955	13.558692	"hmel"
"18"	"132"	0	0.334651	"hmel"
"18"	"134"	31.7755	9.9710235	"hmel"
"8"	"135"	1.2195	0.282379	"hmel"
"16"	"136"	13.348	3.742679	"hmel"
"15"	"137"	10.7865	5.1673005	"hmel"
"14"	"139"	20.524	3.2819765	"hmel"
"11"	"140"	2.4185	1.811231	"hmel"
"18"	"141"	15.8095	4.9777435	"hmel"
