"chr"	"marker"	"cm"	"mb"	"sp"
"15"	"dd039"	22	11.281177	"olat"
"14"	"FSA036G14"	40.7	24.472734	"olat"
"5"	"FSA047G14"	7.9	5.197911	"olat"
"1"	"MTctg44"	81.5	35.737595	"olat"
"20"	"OLa1204c"	3.3	5.532869	"olat"
"7"	"OLc0710h"	0.02	0.785136	"olat"
"1"	"SSA011G09"	0.07	0.707848	"olat"
"16"	"SSA013A07"	22	16.770592	"olat"
"24"	"SSA017D05"	50.7	22.772563	"olat"
"16"	"SSA017D07"	17.6	15.548246	"olat"
"16"	"SSA017E04"	15.4	14.286064	"olat"
"15"	"SSA017H02"	55.17	29.431953	"olat"
"17"	"SSA019D03"	5.5	3.101596	"olat"
"17"	"SSA019H06"	15.4	5.708076	"olat"
"20"	"SSA021F12"	56.2	19.736988	"olat"
"11"	"SSA023F03"	30.07	17.218412	"olat"
"6"	"SSA025G10"	4.4	8.180372	"olat"
"21"	"SSA026G09"	1.12	0.479483	"olat"
"13"	"SSA026H05"	39.6	21.004251	"olat"
"1"	"SSA027B07"	40.8	15.085978	"olat"
"9"	"SSA028B02"	16.5	11.562745	"olat"
"15"	"SSA028G08"	52.91	24.520797	"olat"
"21"	"SSA029A11"	40.8	22.554512	"olat"
"6"	"SSA031E04"	38.8	21.954265	"olat"
"4"	"SSA033E11"	31.1	17.106349	"olat"
"3"	"SSA034A09"	7.7	6.866406	"olat"
"5"	"SSA035D11"	70.2	31.495623	"olat"
"23"	"SSA036A04"	44.2	23.113852	"olat"
"15"	"SSA036A12"	22.01	11.638654	"olat"
"4"	"SSA043C08"	68.6	32.928598	"olat"
"13"	"SSA043F02"	45.1	25.015806	"olat"
"7"	"SSA044E03"	37.4	17.944558	"olat"
"11"	"SSA045F05"	30.07	19.239681	"olat"
"17"	"SSA047B02"	38.5	17.468436	"olat"
"14"	"SSA053H05"	41.8	24.843817	"olat"
"22"	"SSA054G12"	15.5	10.263133	"olat"
"10"	"SSA056E04"	6.6	11.684141	"olat"
"16"	"SSA063B03"	5.5	5.846729	"olat"
"5"	"SSA067D03"	32.6	17.077192	"olat"
"12"	"SSA068F11"	12.1	9.036074	"olat"
"17"	"SSA069E04"	15.4	5.400221	"olat"
"12"	"SSA073G05"	59.8	27.286765	"olat"
"22"	"SSA084A12"	43.2	23.816023	"olat"
"12"	"SSA084G08"	1.1	1.613956	"olat"
"5"	"SSA102C03"	73.57	33.037439	"olat"
"2"	"SSA108E05"	61.3	24.892686	"olat"
"1"	"SSB035I15"	49.6	20.74122	"olat"
"17"	"TUN_0010"	47.3	21.246142	"olat"
"1"	"TUN_0011"	81.5	36.570945	"olat"
"5"	"TUN_0016"	73.59	34.877195	"olat"
"15"	"TUN_0019"	39.7	18.840319	"olat"
"22"	"TUN_0023"	48.7	25.942495	"olat"
"24"	"TUN_0024"	9.9	5.940419	"olat"
"17"	"TUN_0028"	50.6	22.985626	"olat"
"20"	"TUN_0030"	1.1	0.772349	"olat"
"8"	"TUN_0039"	6.6	4.287971	"olat"
"5"	"TUN_0040"	0.09	1.385865	"olat"
"13"	"TUN_0045"	40.7	23.875221	"olat"
"12"	"TUN_0046"	5.5	4.3192	"olat"
"9"	"TUN_0055"	44.1	19.889833	"olat"
"1"	"TUN_0060"	30.9	12.763165	"olat"
"9"	"TUN_0076"	3.3	2.254173	"olat"
"20"	"TUN_0077"	4.4	6.895817	"olat"
"19"	"TUN_0078"	43	15.629865	"olat"
"4"	"TUN_0079"	28.9	14.724186	"olat"
"20"	"TUN_0084"	1.1	2.633082	"olat"
"15"	"TUN_0087"	11	4.151776	"olat"
"7"	"TUN_0088"	48.5	26.083417	"olat"
"11"	"TUN_0093"	30.07	22.050403	"olat"
"13"	"TUN_0094"	4.4	5.707775	"olat"
"17"	"TUN_0095"	5.5	3.029126	"olat"
"5"	"TUN_0096"	10.1	7.573517	"olat"
"20"	"TUN_0101"	1.1	0.770292	"olat"
"11"	"TUN_0104"	30.07	20.911	"olat"
"21"	"TUN_0121"	24.3	10.649073	"olat"
"3"	"TUN_0141"	68	30.600719	"olat"
"17"	"TUN_0151"	20.9	8.04813	"olat"
"24"	"TUN_0164"	40.7	17.404613	"olat"
"22"	"TUN10_001"	52.01	28.376136	"olat"
"1"	"TUN10_002"	79.3	34.09873	"olat"
"4"	"TUN10_003"	42.1	20.936374	"olat"
"11"	"TUN10_005"	0	0.264034	"olat"
"11"	"TUN10_007"	30.05	12.598064	"olat"
"11"	"TUN10_008"	30.04	8.8706	"olat"
"9"	"TUN10_011"	59.8	32.877286	"olat"
"2"	"TUN10_012"	30.3	14.269851	"olat"
"2"	"TUN10_014"	27	10.015927	"olat"
"14"	"TUN10_015"	0.01	0.228413	"olat"
"15"	"TUN10_016"	4.4	2.175231	"olat"
"5"	"TUN10_017"	14.5	11.950787	"olat"
"15"	"TUN10_019"	12.1	4.738588	"olat"
"1"	"TUN10_021"	76	32.260035	"olat"
"1"	"TUN10_022"	57.3	27.101728	"olat"
"1"	"TUN10_024"	41.9	15.81516	"olat"
"12"	"TUN10_025"	19.8	11.076314	"olat"
"18"	"TUN10_027"	60.7	27.758397	"olat"
"17"	"TUN10_032"	46.2	20.803983	"olat"
"13"	"TUN10_034"	1.1	0.186026	"olat"
"17"	"TUN10_036"	17.6	6.367437	"olat"
"14"	"TUN10_039"	15.4	11.896614	"olat"
"22"	"TUN10_040"	24.3	17.354767	"olat"
"1"	"TUN10_043"	59.5	28.004135	"olat"
"11"	"TUN10_044"	46.8	26.633393	"olat"
"20"	"TUN10_046"	1.1	4.326887	"olat"
"21"	"TUN10_047"	4.4	2.396483	"olat"
"17"	"TUN10_048"	0	0.636861	"olat"
"24"	"TUN10_049"	26.4	11.099636	"olat"
"18"	"TUN10_050"	3.3	1.664403	"olat"
"2"	"TUN10_052"	27	10.350597	"olat"
"2"	"TUN10_053"	29.21	12.855651	"olat"
"10"	"TUN10_055"	1.1	4.555661	"olat"
"18"	"TUN10_056"	17.6	8.460707	"olat"
"12"	"TUN10_059"	0	0.420903	"olat"
"22"	"TUN10_064"	22.1	16.054447	"olat"
"22"	"TUN10_066"	25.4	19.043447	"olat"
"18"	"TUN10_070"	7.7	4.061807	"olat"
"11"	"TUN10_071"	50.11	28.375092	"olat"
"2"	"TUN10_073"	55.8	21.515822	"olat"
"12"	"TUN10_074"	62	27.882553	"olat"
"22"	"TUN10_075"	38.8	21.947607	"olat"
"3"	"TUN10_076"	74.6	34.847855	"olat"
"1"	"TUN10_077"	59.5	28.317013	"olat"
"2"	"TUN10_079"	11.9	16.667464	"olat"
"2"	"TUN10_079"	11.9	2.862745	"olat"
"11"	"TUN10_080"	1.1	0.849429	"olat"
"18"	"TUN10_081"	39.6	17.0132	"olat"
"13"	"TUN10_082"	35.2	18.732732	"olat"
"3"	"TUN10_085"	6.6	5.487707	"olat"
"1"	"TUN10_086"	37.5	14.279561	"olat"
"8"	"TUN10_087"	46.4	23.174305	"olat"
"1"	"TUN10_089"	38.6	14.72514	"olat"
"6"	"TUN10_090"	26.6	18.530693	"olat"
"5"	"TUN10_091"	73.59	34.666656	"olat"
"24"	"TUN10_092"	49.6	21.45052	"olat"
"18"	"TUN10_093"	67.32	31.746553	"olat"
"2"	"TUN10_095"	27	10.740753	"olat"
"3"	"TUN10_096"	2.2	1.385644	"olat"
"9"	"TUN10_097"	44.1	21.987319	"olat"
"23"	"TUN10_098"	22.1	10.806761	"olat"
"15"	"TUN10_099"	2.2	1.290451	"olat"
"23"	"TUN10_101"	22.1	10.074634	"olat"
"18"	"TUN10_103"	13.2	7.020348	"olat"
"18"	"TUN10_103"	13.2	7.480392	"olat"
"18"	"TUN10_104"	50.6	23.457188	"olat"
"1"	"TUN10_105"	81.59	37.198798	"olat"
"24"	"TUN10_109"	24.2	10.815493	"olat"
"18"	"TUN10_110"	6.6	3.68705	"olat"
"12"	"TUN10_111"	48.7	21.836465	"olat"
"11"	"TUN10_112"	1.1	1.099847	"olat"
"18"	"TUN10_114"	39.6	17.227786	"olat"
"17"	"TUN10_115"	0	0.929294	"olat"
"23"	"TUN10_117"	44.21	24.242821	"olat"
"3"	"TUN10_120"	47	22.691366	"olat"
"17"	"TUN10_122"	31.9	15.575745	"olat"
"2"	"TUN10_124"	29.21	12.44954	"olat"
"18"	"TUN10_125"	48.4	20.474868	"olat"
"21"	"TUN10_128"	25.4	14.109938	"olat"
"15"	"TUN10_132"	13.2	5.149624	"olat"
"11"	"TUN10_141"	30.05	12.974654	"olat"
"20"	"TUN10_142"	1.1	4.078672	"olat"
"23"	"TUN10_148"	0	0.056605	"olat"
"22"	"TUN10_149"	0.01	0.334939	"olat"
"4"	"TUN10_151"	49.9	24.968548	"olat"
"18"	"TUN10_152"	2.2	1.41804	"olat"
"3"	"TUN10_153"	70.2	33.177955	"olat"
"22"	"TUN10_154"	39.9	22.392188	"olat"
"1"	"TUN10_155"	35.3	13.697529	"olat"
"4"	"TUN10_157"	0.01	2.135412	"olat"
"24"	"TUN10_158"	51.8	24.15899	"olat"
"18"	"TUN10_163"	62.9	28.549934	"olat"
"12"	"TUN10_169"	0	0.117166	"olat"
"1"	"TUN10_172"	43	16.144958	"olat"
"6"	"TUN10_174"	25.5	17.584937	"olat"
"6"	"TUN10_177"	0.09	0.482452	"olat"
"3"	"TUN10_180"	0	0.173827	"olat"
