"chr"	"marker"	"cm"	"mb"	"sp"
2	1	0	0.483222	"dpse"
2	2	1.51187103	1.570899	"dpse"
2	3	1.82929728	2.840604	"dpse"
2	4	1.98793888	2.977364	"dpse"
2	5	2.22557201	3.142962	"dpse"
2	6	2.74097745	3.28693	"dpse"
2	7	3.39464395	3.562158	"dpse"
2	8	3.640519625	3.714403	"dpse"
2	9	4.75510005	4.150638	"dpse"
2	10	5.03269937	4.275122	"dpse"
2	11	5.50833974	4.43288	"dpse"
2	12	7.37385334	5.015853	"dpse"
2	13	7.72967762	5.188165	"dpse"
2	14	8.006616755	5.331286	"dpse"
2	15	8.363734455	5.457476	"dpse"
2	16	8.563062455	5.582056	"dpse"
2	17	8.683844305	5.663942	"dpse"
2	18	8.80370008	5.786871	"dpse"
2	19	9.00431147	5.955452	"dpse"
2	20	10.97726861	6.216944	"dpse"
2	21	11.295032375	6.351305	"dpse"
2	22	11.37439912	6.476292	"dpse"
2	23	11.41396348	6.514704	"dpse"
2	24	11.84951992	6.8022	"dpse"
2	25	12.2070892	6.895317	"dpse"
2	26	13.161282535	7.217136	"dpse"
2	27	13.440262935	7.353224	"dpse"
2	28	13.918646835	7.508796	"dpse"
2	29	14.948552085	7.810821	"dpse"
2	30	15.739916695	8.069015	"dpse"
2	31	15.939779595	8.177049	"dpse"
2	32	16.220042945	8.289379	"dpse"
2	33	16.299877145	8.459239	"dpse"
2	34	16.658057405	8.582325	"dpse"
2	35	16.81667978	8.70204	"dpse"
2	36	17.13331934	8.842146	"dpse"
2	37	17.45000816	8.990478	"dpse"
2	38	17.727262665	9.113429	"dpse"
2	39	17.92572109	9.325684	"dpse"
2	40	18.28241303	9.49635	"dpse"
2	41	18.519924645	9.635653	"dpse"
2	42	18.67809402	9.776248	"dpse"
2	43	19.192701555	10.015045	"dpse"
2	44	19.31224923	10.137658	"dpse"
2	45	19.749134185	10.491411	"dpse"
2	46	19.828759705	10.660827	"dpse"
2	47	20.699784475	11.333433	"dpse"
2	48	20.699784475	11.445447	"dpse"
2	49	20.819409475	11.565072	"dpse"
2	50	21.018310705	11.688998	"dpse"
2	51	21.335328595	11.793452	"dpse"
2	52	21.454360255	11.93027	"dpse"
2	53	23.440327345	12.320824	"dpse"
2	54	23.717828885	12.458201	"dpse"
2	55	23.995875555	12.70426	"dpse"
2	56	24.035727105	12.83935	"dpse"
2	57	24.6722652	13.087513	"dpse"
2	58	24.79351237	13.203539	"dpse"
2	59	24.91447132	13.318738	"dpse"
2	60	24.91447132	13.423631	"dpse"
2	61	25.11304172	13.565467	"dpse"
2	62	26.02361652	14.068547	"dpse"
2	63	26.22171144	14.317723	"dpse"
2	64	26.81927904	14.447629	"dpse"
2	65	26.97828888	14.564548	"dpse"
2	66	27.13688726	14.682905	"dpse"
2	67	27.74089226	14.924507	"dpse"
2	68	29.03254988	15.085361	"dpse"
2	69	30.02532438	15.202158	"dpse"
2	70	30.18370689	15.275996	"dpse"
2	71	30.46178154	15.634802	"dpse"
2	72	30.54160132	15.753936	"dpse"
2	73	30.70156882	15.996311	"dpse"
2	74	30.8211631	16.124907	"dpse"
2	75	31.09878395	16.268752	"dpse"
2	76	31.336285725	16.407237	"dpse"
2	77	32.01055684	16.800398	"dpse"
2	78	32.16902213	16.945779	"dpse"
2	79	32.4062996	17.236917	"dpse"
2	80	33.157570675	17.517766	"dpse"
2	81	33.435015175	17.617746	"dpse"
2	82	33.7133741	17.744561	"dpse"
2	83	33.95212034	17.876465	"dpse"
2	84	34.58658593	18.144172	"dpse"
2	85	34.66619827	18.272579	"dpse"
2	86	34.66619827	18.317447	"dpse"
2	87	34.82542969	18.457739	"dpse"
2	88	34.86507847	18.572663	"dpse"
2	89	35.023747975	18.70886	"dpse"
2	90	35.542740995	18.994021	"dpse"
2	91	35.582808195	19.194357	"dpse"
2	92	35.782648725	19.340226	"dpse"
2	93	36.548660055	19.55038	"dpse"
2	94	37.747966065	20.032029	"dpse"
2	95	37.82693979	20.114724	"dpse"
2	96	38.26233699	20.477555	"dpse"
2	97	38.738906655	20.757068	"dpse"
2	98	38.778787275	20.904774	"dpse"
2	99	38.8980042	21.044209	"dpse"
2	100	39.05641434	21.151971	"dpse"
2	101	39.096407055	21.278932	"dpse"
2	102	39.335584755	21.41368	"dpse"
2	103	40.81417093	21.775635	"dpse"
2	104	41.05728107	21.909212	"dpse"
2	105	42.10540936	22.16769	"dpse"
2	106	42.58081464	22.294634	"dpse"
2	107	43.72880566	22.592041	"dpse"
2	108	44.00570628	22.707899	"dpse"
2	109	44.12457804	22.845323	"dpse"
2	110	44.44233061	23.035594	"dpse"
2	111	44.75949655	23.168857	"dpse"
2	112	44.838861385	23.32919	"dpse"
2	113	44.957242285	23.46526	"dpse"
2	114	45.392530975	23.579509	"dpse"
2	115	46.204065295	23.945065	"dpse"
2	116	46.44721737	24.128576	"dpse"
2	117	46.922551425	24.344147	"dpse"
