"chr"	"marker"	"cm"	"mb"	"sp"
1	"nlp-40 "	0	0.013628	"cele"
1	"sesn-1 "	0.397300000000001	0.030039	"cele"
1	"pgs-1 "	0.795000000000002	0.052173	"cele"
1	"csk-1 "	1.1931	0.076465	"cele"
1	"rab-11.1 "	1.8303	0.109382	"cele"
1	"spe-8 "	2.4674	0.119487	"cele"
1	"mex-3 "	2.478	0.130681	"cele"
1	"duox-2 "	2.4814	0.141205	"cele"
1	"bli-3 "	2.4948	0.150669	"cele"
1	"atm-1 "	2.517	0.205752	"cele"
1	"ztf-3 "	2.5463	0.287614	"cele"
1	"imb-3 "	2.5645	0.312987	"cele"
1	"xpo-2 "	2.5835	0.320948	"cele"
1	"daf-25 "	2.588	0.335228	"cele"
1	"mbtr-1 "	2.5914	0.34581	"cele"
1	"rnp-8 "	2.6	0.366495	"cele"
1	"pqn-59 "	2.6092	0.380492	"cele"
1	"taf-4 "	2.619	0.385843	"cele"
1	"tol-1 "	2.6292	0.452806	"cele"
1	"haf-4 "	2.6743	0.493072	"cele"
1	"deps-1 "	2.69	0.50777	"cele"
1	"acs-13 "	2.7044	0.513755	"cele"
1	"wwp-1 "	2.7176	0.539651	"cele"
1	"ptr-21 "	2.729	0.553676	"cele"
1	"lpr-1 "	2.7346	0.559554	"cele"
1	"ceh-9 "	2.7402	0.565917	"cele"
1	"grl-16 "	2.7507	0.573651	"cele"
1	"hum-7 "	2.7605	0.596699	"cele"
1	"sago-2 "	2.9567	0.619838	"cele"
1	"vps-20 "	3.1043	0.637353	"cele"
1	"pif-1 "	3.2423	0.72555	"cele"
1	"mps-3 "	3.3772	0.761347	"cele"
1	"pde-6 "	3.5116	0.8781	"cele"
1	"him-19 "	3.6147	0.892519	"cele"
1	"gpa-16 "	3.8531	0.901647	"cele"
1	"mig-1 "	4.2433	0.952973	"cele"
1	"shc-1 "	4.2514	0.971412	"cele"
1	"hmbx-1 "	4.2602	0.99092	"cele"
1	"spd-1 "	4.2701	1.032037	"cele"
1	"glrx-10 "	4.4109	1.050163	"cele"
1	"vps-4 "	4.5542	1.060414	"cele"
1	"gsa-1 "	4.6976	1.071804	"cele"
1	"ceh-45 "	4.728	1.130034	"cele"
1	"haf-6 "	4.7436	1.169382	"cele"
1	"smg-2 "	4.7536	1.183059	"cele"
1	"grh-1 "	5.846	1.263824	"cele"
1	"dapk-1 "	6.941	1.316904	"cele"
1	"smo-1 "	6.9711	1.34097	"cele"
1	"set-29 "	6.9877	1.40951	"cele"
1	"spe-15 "	6.9982	1.456005	"cele"
1	"dyb-1 "	7.0419	1.487184	"cele"
1	"src-1 "	7.0911	1.573566	"cele"
1	"cpx-1 "	7.5652	1.595418	"cele"
1	"adpr-1 "	7.803	1.615169	"cele"
1	"bre-4 "	8.0366	1.62398	"cele"
1	"mab-20 "	8.0461	1.648018	"cele"
1	"pqn-88 "	8.1564	1.656188	"cele"
1	"drag-1 "	8.2458	1.682759	"cele"
1	"ubc-3 "	8.3725	1.699611	"cele"
1	"mir-50 "	8.5003	1.738686	"cele"
1	"mppa-1 "	8.6127	1.745853	"cele"
1	"lin-65 "	8.7015	1.7609	"cele"
1	"pghm-1 "	8.826	1.809939	"cele"
1	"rpl-27 "	8.9685	1.835162	"cele"
1	"egl-30 "	9.1115	1.838437	"cele"
1	"emr-1 "	9.1327	1.842983	"cele"
1	"nlp-12 "	9.1511	1.843663	"cele"
1	"tag-96 "	9.1678	1.847871	"cele"
1	"scm-1 "	9.1757	1.867461	"cele"
1	"tub-2 "	9.1854	1.878812	"cele"
1	"gap-3 "	9.2942	1.999604	"cele"
1	"crtc-1 "	9.3312	2.030135	"cele"
1	"rpb-10 "	9.3683	2.064709	"cele"
1	"moag-4 "	9.4604	2.06522	"cele"
1	"arl-13 "	9.5789	2.067391	"cele"
1	"phb-1 "	9.7127	2.071952	"cele"
1	"npp-13 "	9.8522	2.110397	"cele"
1	"afd-1 "	10.5219	2.184841	"cele"
1	"gcy-17 "	10.7446	2.228251	"cele"
1	"lgc-51 "	10.9653	2.244764	"cele"
1	"abt-2 "	11.1927	2.264397	"cele"
1	"cdk-7 "	11.8062	2.286151	"cele"
1	"tpxl-1 "	11.9875	2.30084	"cele"
1	"epg-2 "	12.2046	2.301456	"cele"
1	"srbc-64 "	12.4279	2.329078	"cele"
1	"ugt-31 "	12.4941	2.336009	"cele"
1	"zeel-1 "	12.5694	2.346344	"cele"
1	"nspa-12 "	12.637	2.350895	"cele"
1	"nekl-1 "	12.7028	2.365426	"cele"
1	"sydn-1 "	12.7782	2.379472	"cele"
1	"zwl-1 "	12.8645	2.406112	"cele"
1	"ubxn-1 "	12.9565	2.434859	"cele"
1	"inx-19 "	13.0542	2.458275	"cele"
1	"abtm-1 "	13.2016	2.478838	"cele"
1	"scrt-1 "	13.3195	2.569811	"cele"
1	"ctn-1 "	13.4377	2.61206	"cele"
1	"cars-1 "	13.5611	2.625841	"cele"
1	"cpz-1 "	13.6897	2.688059	"cele"
1	"lin-17 "	14.328	2.712218	"cele"
1	"yop-1 "	14.3534	2.73073	"cele"
1	"plk-2 "	14.3843	2.756897	"cele"
1	"sop-3 "	14.4437	2.768632	"cele"
1	"itx-1 "	15.3916	2.809306	"cele"
1	"pop-1 "	16.3437	2.826883	"cele"
1	"ccb-2 "	16.3556	2.848258	"cele"
1	"arx-1 "	16.3639	2.888609	"cele"
1	"pme-1 "	16.3682	2.916223	"cele"
1	"cogc-3 "	16.3927	2.939308	"cele"
1	"bam-2 "	16.4039	2.953745	"cele"
1	"dnj-28 "	16.423	2.998894	"cele"
1	"mek-2 "	16.4388	3.00944	"cele"
1	"mod-5 "	17.1594	3.041518	"cele"
1	"ztf-23 "	17.168	3.055609	"cele"
1	"arx-7 "	17.1762	3.069688	"cele"
1	"riok-1 "	17.1838	3.090646	"cele"
1	"nhr-64 "	17.1918	3.106955	"cele"
1	"vbh-1 "	17.1939	3.160447	"cele"
1	"fog-1 "	17.1959	3.214208	"cele"
1	"rom-5 "	17.1991	3.220121	"cele"
1	"cogc-1 "	17.2089	3.24448	"cele"
1	"mab-31 "	17.3571	3.245159	"cele"
1	"zip-4 "	17.525	3.265511	"cele"
1	"sulp-6 "	17.6904	3.290279	"cele"
1	"ace-2 "	17.8251	3.304781	"cele"
1	"fbxa-203 "	17.8705	3.372833	"cele"
1	"cdk-2 "	17.9228	3.411554	"cele"
1	"sep-1 "	17.9625	3.435852	"cele"
1	"tag-63 "	18.1289	3.444145	"cele"
1	"msh-6 "	18.2913	3.455751	"cele"
1	"spg-7 "	18.4527	3.472554	"cele"
1	"pcaf-1 "	18.4714	3.519936	"cele"
1	"lpd-3 "	18.4901	3.571867	"cele"
1	"mis-12 "	18.509	3.605139	"cele"
1	"inx-22 "	18.5283	3.610123	"cele"
1	"inx-21 "	18.5522	3.615117	"cele"
1	"jmjc-1 "	18.5769	3.633791	"cele"
1	"ccb-1 "	18.6014	3.64436	"cele"
1	"smp-2 "	18.6666	3.669416	"cele"
1	"ftn-2 "	18.7328	3.680564	"cele"
1	"rab-8 "	18.7588	3.683509	"cele"
1	"hus-1 "	18.7857	3.698701	"cele"
1	"lin-59 "	18.8334	3.71734	"cele"
1	"glh-4 "	18.8995	3.728621	"cele"
1	"larp-5 "	18.9234	3.736734	"cele"
1	"math-46 "	18.9461	3.746908	"cele"
1	"inx-13 "	18.9677	3.751246	"cele"
1	"inx-12 "	19.0042	3.757275	"cele"
1	"asic-1 "	19.0394	3.771782	"cele"
1	"ric-19 "	19.0677	3.779877	"cele"
1	"rpl-13 "	19.0828	3.788476	"cele"
1	"ptr-2 "	19.0972	3.791055	"cele"
