"chr"	"marker"	"cm"	"mb"	"sp"
"8"	"1"	0	0.05	"dmel"
"8"	"2"	0	0.15	"dmel"
"8"	"3"	0	0.25	"dmel"
"8"	"4"	0	0.35	"dmel"
"8"	"5"	0	0.45	"dmel"
"8"	"6"	0	0.55	"dmel"
"8"	"7"	0	0.65	"dmel"
"8"	"8"	0.00545	0.75	"dmel"
"8"	"9"	0.00545	0.85	"dmel"
"8"	"10"	0.00545	0.95	"dmel"
"8"	"11"	0.00545	1.05	"dmel"
"8"	"12"	0.00545	1.15	"dmel"
"8"	"13"	0.00545	1.25	"dmel"
"8"	"14"	0.00545	1.35	"dmel"
"8"	"15"	0.00545	1.45	"dmel"
"8"	"16"	0.00545	1.55	"dmel"
"8"	"17"	0.00545	1.65	"dmel"
"8"	"18"	0.0109	1.75	"dmel"
"8"	"19"	0.0109	1.85	"dmel"
"8"	"20"	0.01635	1.95	"dmel"
"8"	"21"	0.01635	2.05	"dmel"
"8"	"22"	0.02725	2.15	"dmel"
"8"	"23"	0.02725	2.25	"dmel"
"8"	"24"	0.02725	2.35	"dmel"
"8"	"25"	0.04355	2.45	"dmel"
"8"	"26"	0.04355	2.55	"dmel"
"8"	"27"	0.04355	2.65	"dmel"
"8"	"28"	0.05985	2.75	"dmel"
"8"	"29"	0.07075	2.85	"dmel"
"8"	"30"	0.0762	2.95	"dmel"
"8"	"31"	0.0762	3.05	"dmel"
"8"	"32"	0.0762	3.15	"dmel"
"8"	"33"	0.0925	3.25	"dmel"
"8"	"34"	0.12515	3.35	"dmel"
"8"	"35"	0.13605	3.45	"dmel"
"8"	"36"	0.1415	3.55	"dmel"
"8"	"37"	0.1959	3.65	"dmel"
"8"	"38"	0.234	3.75	"dmel"
"8"	"39"	0.33195	3.85	"dmel"
"8"	"40"	0.3374	3.95	"dmel"
"8"	"41"	0.3755	4.05	"dmel"
"8"	"42"	0.42445	4.15	"dmel"
"8"	"43"	0.51695	4.25	"dmel"
"8"	"44"	0.65295	4.35	"dmel"
"8"	"45"	0.68015	4.45	"dmel"
"8"	"46"	0.68015	4.55	"dmel"
"8"	"47"	0.69645	4.65	"dmel"
"8"	"48"	0.75085	4.75	"dmel"
"8"	"49"	0.85965	4.85	"dmel"
"8"	"50"	0.87595	4.95	"dmel"
"8"	"51"	0.94125	5.05	"dmel"
"8"	"52"	0.9902	5.15	"dmel"
"8"	"53"	1.0011	5.25	"dmel"
"8"	"54"	1.0011	5.35	"dmel"
"8"	"55"	1.0392	5.45	"dmel"
"8"	"56"	1.06095	5.55	"dmel"
"8"	"57"	1.1045	5.65	"dmel"
"8"	"58"	1.1698	5.75	"dmel"
"8"	"59"	1.24055	5.85	"dmel"
"8"	"60"	1.25685	5.95	"dmel"
"8"	"61"	1.26775	6.05	"dmel"
"8"	"62"	1.2732	6.15	"dmel"
"8"	"63"	1.3004	6.25	"dmel"
"8"	"64"	1.3276	6.35	"dmel"
"8"	"65"	1.38745	6.45	"dmel"
"8"	"66"	1.4364	6.55	"dmel"
"8"	"67"	1.48535	6.65	"dmel"
"8"	"68"	1.53975	6.75	"dmel"
"8"	"69"	1.5887	6.85	"dmel"
"8"	"70"	1.7791	6.95	"dmel"
"8"	"71"	1.82265	7.05	"dmel"
"8"	"72"	1.9641	7.15	"dmel"
"8"	"73"	2.0566	7.25	"dmel"
"8"	"74"	2.1926	7.35	"dmel"
"8"	"75"	2.25245	7.45	"dmel"
"8"	"76"	2.31775	7.55	"dmel"
"8"	"77"	2.37215	7.65	"dmel"
"8"	"78"	2.41025	7.75	"dmel"
"8"	"79"	2.4429	7.85	"dmel"
"8"	"80"	2.52995	7.95	"dmel"
"8"	"81"	2.59525	8.05	"dmel"
"8"	"82"	2.6823	8.15	"dmel"
"8"	"83"	2.71495	8.25	"dmel"
"8"	"84"	2.73125	8.35	"dmel"
"8"	"85"	2.8564	8.45	"dmel"
"8"	"86"	2.938	8.55	"dmel"
"8"	"87"	2.95975	8.65	"dmel"
"8"	"88"	3.02505	8.75	"dmel"
"8"	"89"	3.1571	8.85	"dmel"
"8"	"90"	3.30945	8.95	"dmel"
"8"	"91"	3.353	9.05	"dmel"
"8"	"92"	3.3693	9.15	"dmel"
"8"	"93"	3.4074	9.25	"dmel"
"8"	"94"	3.45095	9.35	"dmel"
"8"	"95"	3.47815	9.45	"dmel"
"8"	"96"	3.5217	9.55	"dmel"
"8"	"97"	3.6142	9.65	"dmel"
"8"	"98"	3.76655	9.75	"dmel"
"8"	"99"	4.14195	9.85	"dmel"
"8"	"100"	4.30515	9.95	"dmel"
"8"	"101"	4.4031	10.05	"dmel"
"8"	"102"	4.4847	10.15	"dmel"
"8"	"103"	4.8873	10.25	"dmel"
"8"	"104"	4.98525	10.35	"dmel"
"8"	"105"	5.06685	10.45	"dmel"
"8"	"106"	5.23005	10.55	"dmel"
"8"	"107"	5.2736	10.65	"dmel"
"8"	"108"	5.37155	10.75	"dmel"
"8"	"109"	5.5674	10.85	"dmel"
"8"	"110"	5.7687	10.95	"dmel"
"8"	"111"	5.8612	11.05	"dmel"
"8"	"112"	5.9972	11.15	"dmel"
"8"	"113"	6.26925	11.25	"dmel"
"8"	"114"	6.39985	11.35	"dmel"
"8"	"115"	6.43795	11.45	"dmel"
"8"	"116"	6.62295	11.55	"dmel"
"8"	"117"	6.7644	11.65	"dmel"
"8"	"118"	6.85145	11.75	"dmel"
"8"	"119"	6.88955	11.85	"dmel"
"8"	"120"	6.9875	11.95	"dmel"
"8"	"121"	7.0528	12.05	"dmel"
"8"	"122"	7.0909	12.15	"dmel"
"8"	"123"	7.17795	12.25	"dmel"
"8"	"124"	7.27045	12.35	"dmel"
"8"	"125"	7.3031	12.45	"dmel"
"8"	"126"	7.37385	12.55	"dmel"
"8"	"127"	7.41195	12.65	"dmel"
"8"	"128"	7.4337	12.75	"dmel"
"8"	"129"	7.4718	12.85	"dmel"
"8"	"130"	7.54255	12.95	"dmel"
