chr	cm	mb
1	10.4	45879180
1	10.4	45888666
1	11	47542462
1	13.7	68720713
1	13.7	71102303
1	13.7	71158142
1	13.7	74588450
1	14	75816982
1	14	76284598
1	14	98799676
1	14	100062394
1	15.7	110959776
1	21.9	115952558
1	29.5	119623002
1	29.5	120343827
1	29.5	120912227
2	6.2	7753029
2	7.5	9910873
2	12.4	15633396
2	17.4	22055996
2	17.4	22085673
2	21.3	27054220
2	25.3	38563392
2	31.6	54691886
2	35.6	68778032
2	38.9	84700802
2	38.9	85004286
2	43.2	131318525
2	51.7	160046174
2	64.3	192643590
2	65.4	196037724
2	65.4	196050544
2	65.4	196106581
2	80	210295864
2	88.8	219988205
3	1.9	3950058
3	1.9	4664115
3	5.1	8599795
3	7.1	10988836
3	7.1	11644087
3	17.5	34347310
3	17.5	34432463
3	27.2	38864240
3	22.3	39577355
3	22.3	39759560
3	30.5	64218714
3	30.5	64893438
3	32.1	69407600
3	32.1	69427523
3	39.6	90236502
3	40	99051038
3	42.2	122337498
3	48.4	158282672
3	51.3	163943806
3	53.6	171657080
3	55.6	184085189
3	59.5	188911289
3	65.6	198647375
