"chr"	"marker"	"cm"	"mb"	"sp"
1	"0002"	0	2.685863	"clup"
1	"0003"	0	3.6545	"clup"
1	"0004"	0	4.451097	"clup"
1	"0005"	0	5.403487	"clup"
1	"0006_RD"	0.25	5.929791	"clup"
1	"0007"	0.74	6.810341	"clup"
1	"0008"	0.74	7.136721	"clup"
1	"0009"	0.74	7.966208	"clup"
1	"0010"	0.74	8.769602	"clup"
1	"0012"	1.54	10.527736	"clup"
1	"0013"	1.54	11.206954	"clup"
1	"0014_RD"	3.43	12.276127	"clup"
1	"0015"	3.43	13.110762	"clup"
1	"0016"	4.17	13.994014	"clup"
1	"0017"	4.78	14.145705	"clup"
1	"0018"	4.78	15.129061	"clup"
1	"0019"	5.62	16.036364	"clup"
1	"0019_RD"	5.62	15.953394	"clup"
1	"0020"	7.25	16.922637	"clup"
1	"0021"	8.71	17.836227	"clup"
1	"0022"	9.31	18.211614	"clup"
1	"0023"	9.6	19.20531	"clup"
1	"0024_RD"	9.6	20.222417	"clup"
1	"0025_RD"	10.67	20.825916	"clup"
1	"0026"	10.67	21.67903	"clup"
1	"0027"	10.67	21.807167	"clup"
1	"0028"	11.09	22.697569	"clup"
1	"0029"	12.52	23.470466	"clup"
1	"0029_RD"	12.52	23.470169	"clup"
1	"0030"	13.06	23.867577	"clup"
1	"0031"	14.65	24.780134	"clup"
1	"0032"	14.68	25.66081	"clup"
1	"0033"	15.37	26.384931	"clup"
1	"0034"	15.37	27.211344	"clup"
1	"0035"	16.07	28.156896	"clup"
1	"0036"	16.07	29.048089	"clup"
1	"0036_RD"	16.07	29.013841	"clup"
1	"0037"	17.63	29.792563	"clup"
1	"0038"	17.63	30.332814	"clup"
1	"0038_RD"	19.02	30.410897	"clup"
1	"0039"	20.51	31.259822	"clup"
1	"0040"	21.2	31.973435	"clup"
1	"0041"	22.11	32.93797	"clup"
1	"0042"	22.49	33.836903	"clup"
1	"0043"	22.83	34.650628	"clup"
1	"0043_RD"	22.83	34.686353	"clup"
1	"0044"	22.83	35.266505	"clup"
1	"0045"	23.24	36.247349	"clup"
1	"0046"	24.85	37.023863	"clup"
1	"0047"	24.85	38.001349	"clup"
1	"0048"	25.79	38.985898	"clup"
1	"0049"	26.64	39.907362	"clup"
1	"0050"	27.94	40.894659	"clup"
1	"0051"	27.94	41.221796	"clup"
1	"0052"	28.18	41.405612	"clup"
1	"0053_RD"	28.41	42.292395	"clup"
1	"0054"	28.55	42.820586	"clup"
1	"0055"	30.02	43.80093	"clup"
1	"0056"	30.02	44.392081	"clup"
1	"0057"	30.04	45.253475	"clup"
1	"0058_RD"	31.9	46.19222	"clup"
1	"0059"	32.73	46.945999	"clup"
1	"0060"	33.95	47.420704	"clup"
1	"0061"	33.95	47.910052	"clup"
1	"0062"	35.4	48.705884	"clup"
1	"0063"	35.69	49.674319	"clup"
1	"0064"	37.48	50.638429	"clup"
1	"0065"	38.27	51.635371	"clup"
1	"0066"	38.27	52.351467	"clup"
1	"0067"	38.27	53.206219	"clup"
1	"0068"	39.12	53.891354	"clup"
1	"0069"	39.12	54.524694	"clup"
1	"0069_RD"	39.12	54.501826	"clup"
1	"0070"	39.12	54.961803	"clup"
1	"0071"	41.36	55.654074	"clup"
1	"0072"	41.36	56.099946	"clup"
1	"0073"	42.62	57.064055	"clup"
1	"0074"	43.74	57.9114	"clup"
1	"0075"	43.74	58.263097	"clup"
1	"0076"	43.75	59.228403	"clup"
1	"0076_RD"	43.78	59.325128	"clup"
1	"0077"	44.16	59.995776	"clup"
1	"0078"	44.16	60.933301	"clup"
1	"0079"	44.34	61.128223	"clup"
1	"0080"	44.54	61.560808	"clup"
1	"0081"	45.06	62.556382	"clup"
1	"0082"	45.58	63.208574	"clup"
1	"0083"	45.58	64.171988	"clup"
1	"0083_RD"	45.58	64.499746	"clup"
1	"0084"	46.56	65.122609	"clup"
1	"0085"	47.06	66.072367	"clup"
1	"0086"	47.27	66.221228	"clup"
1	"0087"	47.56	67.161496	"clup"
1	"0088"	47.56	68.023937	"clup"
1	"0089"	47.8	68.921525	"clup"
1	"0090"	47.8	69.472993	"clup"
1	"0091"	47.99	70.554402	"clup"
1	"0092"	48.04	71.245355	"clup"
1	"0093"	48.15	72.029558	"clup"
1	"0094_RD"	48.27	72.929228	"clup"
1	"0095"	48.95	73.255307	"clup"
1	"0096"	48.95	74.084815	"clup"
1	"0097"	49.29	74.817062	"clup"
1	"0098"	49.29	75.897109	"clup"
1	"01_007C_CA"	0	4.796042	"clup"
1	"01_012C_CA"	1.54	9.290166	"clup"
1	"01_029B_CA"	15.37	26.413203	"clup"
1	"01_036A_CA"	22.11	33.233586	"clup"
1	"01_087E_CA"	56.58	84.728287	"clup"
1	"01_094G_CA"	62.66	91.917345	"clup"
1	"01_105D_CA"	67.35	102.340625	"clup"
1	"0100"	51.36	77.449959	"clup"
1	"0101"	52.19	78.208409	"clup"
1	"0102"	52.83	79.139129	"clup"
1	"0102_RD"	52.83	79.136935	"clup"
1	"0103"	54.24	80.071891	"clup"
1	"0104"	54.86	80.80771	"clup"
1	"0105"	54.86	81.540493	"clup"
1	"0106"	55.72	82.343639	"clup"
1	"0107"	55.72	83.17645	"clup"
1	"0108"	56.58	84.131219	"clup"
1	"0109"	56.91	85.047248	"clup"
1	"0110"	57.28	85.601612	"clup"
1	"0111"	58	86.503546	"clup"
1	"0112"	59.47	87.38496	"clup"
1	"0113"	59.47	87.986729	"clup"
1	"0113_RD"	59.47	87.959701	"clup"
1	"0114"	60.86	88.469193	"clup"
1	"0114_RD"	60.86	88.368474	"clup"
1	"0115"	60.86	89.363656	"clup"
1	"0116"	61.38	90.357048	"clup"
1	"0117"	61.76	91.273572	"clup"
1	"0118"	62.83	92.266599	"clup"
1	"0119"	63.11	93.250102	"clup"
1	"0120"	63.29	94.10395	"clup"
1	"0121"	63.73	94.978217	"clup"
1	"0121_RD"	63.86	95.026946	"clup"
1	"0122"	65.35	95.836159	"clup"
1	"0123"	66.17	96.696724	"clup"
1	"0123_RD"	66.92	96.839952	"clup"
1	"0124"	67.35	97.577231	"clup"
1	"0125"	67.35	98.425469	"clup"
1	"0126"	67.35	99.346445	"clup"
1	"0127"	67.35	100.282316	"clup"
1	"0128"	67.35	101.256282	"clup"
1	"0129"	67.35	102.246353	"clup"
1	"0130"	68.22	103.219132	"clup"
1	"0131"	68.65	104.633892	"clup"
1	"0131_RD"	68.65	104.819136	"clup"
1	"0132"	68.65	105.536738	"clup"
1	"0133"	68.65	106.317308	"clup"
1	"0134"	68.65	107.138448	"clup"
1	"0135"	68.65	107.749591	"clup"
1	"0136"	70.22	108.34754	"clup"
1	"0137"	70.92	109.319589	"clup"
1	"0138"	71.98	110.270521	"clup"
1	"0139"	71.98	110.881819	"clup"
1	"0140"	73.53	111.893883	"clup"
1	"0141"	74.21	112.503641	"clup"
1	"0142"	75.45	113.34275	"clup"
